title,lon,lat
Substation,101.6828513,3.096872199
Substation,101.6663622,3.077052988
Substation,101.7075362,3.098725469
Substation,102.2009095,2.417876324
Substation,102.2235994,2.430409429
Substation,102.2129491,2.366476111
Substation,101.7273134,3.122785052
Substation,101.7405414,3.146435619
Substation,116.3963407,6.333516992
Substation,116.7014706,6.537415522
Substation,116.1629552,6.092897424
Substation,116.1307595,6.039491717
Substation,116.1344488,5.928854272
Substation,101.683315,2.966330887
Substation,101.7308604,2.953714292
Substation,101.7598735,2.941419981
Substation,101.7338029,3.013960534
Substation,101.6800905,2.971609468
Substation,101.6479666,2.953278387
Substation,100.4016885,6.632647929
Substation,100.2609674,6.511229331
Substation,101.3676604,3.014483394
Substation,101.3792497,3.034863083
Substation,101.6546657,3.137820107
Substation,101.6688883,3.121878487
Substation,101.6024386,3.19737188
Substation,101.6578257,3.188861147
Substation,101.6193843,3.076540756
Substation,101.6204808,3.05036216
Substation,101.597702,3.071927808
Substation,103.5183405,1.502668221
Substation,103.5822507,1.55221604
Substation,103.2739529,3.810473957
Substation,103.2782592,3.826793997
Substation,103.278946,3.780850251
Substation,100.6479066,5.818787636
Substation,100.53339,5.812015902
Substation,102.2304911,2.232368566
Substation,102.1637443,2.226598361
Substation,102.2718654,2.199558715
Substation,101.5671911,3.311243332
Substation,101.5605915,3.231189695
Substation,101.6239784,3.204435985
Substation,100.975728,4.361811937
Substation,100.7790607,4.335911776
Substation,100.4684601,5.130384157
Substation,100.5206463,5.036827658
Substation,100.4643974,5.175078069
Substation,100.4563746,5.267817563
Substation,100.4823184,5.230447176
Substation,115.8923331,5.648604031
Substation,115.9077106,5.657775988
Substation,101.4327733,3.353499517
Substation,101.4645405,3.320772856
Substation,115.2434367,5.353001358
Substation,115.3712982,5.370134558
Substation,115.2377549,5.249439336
Substation,102.407113,2.292223854
Substation,102.5445894,2.296149291
Substation,102.2957914,2.251509606
Substation,102.2794427,2.284140651
Substation,101.5464958,3.420257183
Substation,101.6257991,3.504221259
Substation,101.64255,3.442836553
Substation,101.5707846,3.345868107
Substation,101.5759704,3.378243786
Substation,103.4552499,1.353612424
